Buffer_results1[0].real, 0x0000,
Buffer_results1[0].imag, 0x0000,
Buffer_results1[1].real, 0x0000,
Buffer_results1[1].imag, 0x0000,
Buffer_results1[2].real, 0x0000,
Buffer_results1[2].imag, 0x0000,
Buffer_results1[3].real, 0x0000,
Buffer_results1[3].imag, 0x0000,
Buffer_results1[4].real, 0x0000,
Buffer_results1[4].imag, 0x0000,
Buffer_results1[5].real, 0x0000,
Buffer_results1[5].imag, 0x0000,
Buffer_results1[6].real, 0x0000,
Buffer_results1[6].imag, 0x0000,
Buffer_results1[7].real, 0x0000,
Buffer_results1[7].imag, 0x0000,
Buffer_results1[8].real, 0xF49A,
Buffer_results1[8].imag, 0xFC55,
Buffer_results1[9].real, 0x0000,
Buffer_results1[9].imag, 0x0000,
Buffer_results1[10].real, 0x0000,
Buffer_results1[10].imag, 0x0000,
Buffer_results1[11].real, 0x0000,
Buffer_results1[11].imag, 0x0000,
Buffer_results1[12].real, 0x0000,
Buffer_results1[12].imag, 0x0000,
Buffer_results1[13].real, 0x0000,
Buffer_results1[13].imag, 0x0000,
Buffer_results1[14].real, 0x0000,
Buffer_results1[14].imag, 0x0000,
Buffer_results1[15].real, 0x0000,
Buffer_results1[15].imag, 0x0000,
Buffer_results1[16].real, 0x0000,
Buffer_results1[16].imag, 0x0000,
Buffer_results1[17].real, 0x0000,
Buffer_results1[17].imag, 0x0000,
Buffer_results1[18].real, 0x0000,
Buffer_results1[18].imag, 0x0000,
Buffer_results1[19].real, 0x0000,
Buffer_results1[19].imag, 0x0000,
Buffer_results1[20].real, 0x0000,
Buffer_results1[20].imag, 0x0000,
Buffer_results1[21].real, 0x0000,
Buffer_results1[21].imag, 0x0000,
Buffer_results1[22].real, 0x0000,
Buffer_results1[22].imag, 0x0000,
Buffer_results1[23].real, 0x0000,
Buffer_results1[23].imag, 0x0000,
Buffer_results1[24].real, 0x0920,
Buffer_results1[24].imag, 0x0621,
Buffer_results1[25].real, 0x0000,
Buffer_results1[25].imag, 0x0000,
Buffer_results1[26].real, 0x0000,
Buffer_results1[26].imag, 0x0000,
Buffer_results1[27].real, 0x0000,
Buffer_results1[27].imag, 0x0000,
Buffer_results1[28].real, 0x0000,
Buffer_results1[28].imag, 0x0000,
Buffer_results1[29].real, 0x0000,
Buffer_results1[29].imag, 0x0000,
Buffer_results1[30].real, 0x0000,
Buffer_results1[30].imag, 0x0000,
Buffer_results1[31].real, 0x0000,
Buffer_results1[31].imag, 0x0000,
Buffer_results1[32].real, 0x0000,
Buffer_results1[32].imag, 0x0000,
Buffer_results1[33].real, 0x0000,
Buffer_results1[33].imag, 0x0000,
Buffer_results1[34].real, 0x0000,
Buffer_results1[34].imag, 0x0000,
Buffer_results1[35].real, 0x0000,
Buffer_results1[35].imag, 0x0000,
Buffer_results1[36].real, 0x0000,
Buffer_results1[36].imag, 0x0000,
Buffer_results1[37].real, 0x0000,
Buffer_results1[37].imag, 0x0000,
Buffer_results1[38].real, 0x0000,
Buffer_results1[38].imag, 0x0000,
Buffer_results1[39].real, 0x0000,
Buffer_results1[39].imag, 0x0000,
Buffer_results1[40].real, 0x0419,
Buffer_results1[40].imag, 0x0620,
Buffer_results1[41].real, 0x0000,
Buffer_results1[41].imag, 0x0000,
Buffer_results1[42].real, 0x0000,
Buffer_results1[42].imag, 0x0000,
Buffer_results1[43].real, 0x0000,
Buffer_results1[43].imag, 0x0000,
Buffer_results1[44].real, 0x0000,
Buffer_results1[44].imag, 0x0000,
Buffer_results1[45].real, 0x0000,
Buffer_results1[45].imag, 0x0000,
Buffer_results1[46].real, 0x0000,
Buffer_results1[46].imag, 0x0000,
Buffer_results1[47].real, 0x0000,
Buffer_results1[47].imag, 0x0000,
Buffer_results1[48].real, 0x0000,
Buffer_results1[48].imag, 0x0000,
Buffer_results1[49].real, 0x0000,
Buffer_results1[49].imag, 0x0000,
Buffer_results1[50].real, 0x0000,
Buffer_results1[50].imag, 0x0000,
Buffer_results1[51].real, 0x0000,
Buffer_results1[51].imag, 0x0000,
Buffer_results1[52].real, 0x0000,
Buffer_results1[52].imag, 0x0000,
Buffer_results1[53].real, 0x0000,
Buffer_results1[53].imag, 0x0000,
Buffer_results1[54].real, 0x0000,
Buffer_results1[54].imag, 0x0000,
Buffer_results1[55].real, 0x0000,
Buffer_results1[55].imag, 0x0000,
Buffer_results1[56].real, 0xFD0C,
Buffer_results1[56].imag, 0xF134,
Buffer_results1[57].real, 0x0000,
Buffer_results1[57].imag, 0x0000,
Buffer_results1[58].real, 0x0000,
Buffer_results1[58].imag, 0x0000,
Buffer_results1[59].real, 0x0000,
Buffer_results1[59].imag, 0x0000,
Buffer_results1[60].real, 0x0000,
Buffer_results1[60].imag, 0x0000,
Buffer_results1[61].real, 0x0000,
Buffer_results1[61].imag, 0x0000,
Buffer_results1[62].real, 0x0000,
Buffer_results1[62].imag, 0x0000,
Buffer_results1[63].real, 0x0000,
Buffer_results1[63].imag, 0x0000,
Buffer_results1[64].real, 0x0000,
Buffer_results1[64].imag, 0x0000,
Buffer_results1[65].real, 0x0000,
Buffer_results1[65].imag, 0x0000,
Buffer_results1[66].real, 0x0000,
Buffer_results1[66].imag, 0x0000,
Buffer_results1[67].real, 0x0000,
Buffer_results1[67].imag, 0x0000,
Buffer_results1[68].real, 0x0000,
Buffer_results1[68].imag, 0x0000,
Buffer_results1[69].real, 0x0000,
Buffer_results1[69].imag, 0x0000,
Buffer_results1[70].real, 0x0000,
Buffer_results1[70].imag, 0x0000,
Buffer_results1[71].real, 0x0000,
Buffer_results1[71].imag, 0x0000,
Buffer_results1[72].real, 0xFD0C,
Buffer_results1[72].imag, 0x0ECD,
Buffer_results1[73].real, 0x0000,
Buffer_results1[73].imag, 0x0000,
Buffer_results1[74].real, 0x0000,
Buffer_results1[74].imag, 0x0000,
Buffer_results1[75].real, 0x0000,
Buffer_results1[75].imag, 0x0000,
Buffer_results1[76].real, 0x0000,
Buffer_results1[76].imag, 0x0000,
Buffer_results1[77].real, 0x0000,
Buffer_results1[77].imag, 0x0000,
Buffer_results1[78].real, 0x0000,
Buffer_results1[78].imag, 0x0000,
Buffer_results1[79].real, 0x0000,
Buffer_results1[79].imag, 0x0000,
Buffer_results1[80].real, 0x0000,
Buffer_results1[80].imag, 0x0000,
Buffer_results1[81].real, 0x0000,
Buffer_results1[81].imag, 0x0000,
Buffer_results1[82].real, 0x0000,
Buffer_results1[82].imag, 0x0000,
Buffer_results1[83].real, 0x0000,
Buffer_results1[83].imag, 0x0000,
Buffer_results1[84].real, 0x0000,
Buffer_results1[84].imag, 0x0000,
Buffer_results1[85].real, 0x0000,
Buffer_results1[85].imag, 0x0000,
Buffer_results1[86].real, 0x0000,
Buffer_results1[86].imag, 0x0000,
Buffer_results1[87].real, 0x0000,
Buffer_results1[87].imag, 0x0000,
Buffer_results1[88].real, 0x0419,
Buffer_results1[88].imag, 0xF9E1,
Buffer_results1[89].real, 0x0000,
Buffer_results1[89].imag, 0x0000,
Buffer_results1[90].real, 0x0000,
Buffer_results1[90].imag, 0x0000,
Buffer_results1[91].real, 0x0000,
Buffer_results1[91].imag, 0x0000,
Buffer_results1[92].real, 0x0000,
Buffer_results1[92].imag, 0x0000,
Buffer_results1[93].real, 0x0000,
Buffer_results1[93].imag, 0x0000,
Buffer_results1[94].real, 0x0000,
Buffer_results1[94].imag, 0x0000,
Buffer_results1[95].real, 0x0000,
Buffer_results1[95].imag, 0x0000,
Buffer_results1[96].real, 0x0000,
Buffer_results1[96].imag, 0x0000,
Buffer_results1[97].real, 0x0000,
Buffer_results1[97].imag, 0x0000,
Buffer_results1[98].real, 0x0000,
Buffer_results1[98].imag, 0x0000,
Buffer_results1[99].real, 0x0000,
Buffer_results1[99].imag, 0x0000,
Buffer_results1[100].real, 0x0000,
Buffer_results1[100].imag, 0x0000,
Buffer_results1[101].real, 0x0000,
Buffer_results1[101].imag, 0x0000,
Buffer_results1[102].real, 0x0000,
Buffer_results1[102].imag, 0x0000,
Buffer_results1[103].real, 0x0000,
Buffer_results1[103].imag, 0x0000,
Buffer_results1[104].real, 0x0921,
Buffer_results1[104].imag, 0xF9E0,
Buffer_results1[105].real, 0x0000,
Buffer_results1[105].imag, 0x0000,
Buffer_results1[106].real, 0x0000,
Buffer_results1[106].imag, 0x0000,
Buffer_results1[107].real, 0x0000,
Buffer_results1[107].imag, 0x0000,
Buffer_results1[108].real, 0x0000,
Buffer_results1[108].imag, 0x0000,
Buffer_results1[109].real, 0x0000,
Buffer_results1[109].imag, 0x0000,
Buffer_results1[110].real, 0x0000,
Buffer_results1[110].imag, 0x0000,
Buffer_results1[111].real, 0x0000,
Buffer_results1[111].imag, 0x0000,
Buffer_results1[112].real, 0x0000,
Buffer_results1[112].imag, 0x0000,
Buffer_results1[113].real, 0x0000,
Buffer_results1[113].imag, 0x0000,
Buffer_results1[114].real, 0x0000,
Buffer_results1[114].imag, 0x0000,
Buffer_results1[115].real, 0x0000,
Buffer_results1[115].imag, 0x0000,
Buffer_results1[116].real, 0x0000,
Buffer_results1[116].imag, 0x0000,
Buffer_results1[117].real, 0x0000,
Buffer_results1[117].imag, 0x0000,
Buffer_results1[118].real, 0x0000,
Buffer_results1[118].imag, 0x0000,
Buffer_results1[119].real, 0x0000,
Buffer_results1[119].imag, 0x0000,
Buffer_results1[120].real, 0xF49B,
Buffer_results1[120].imag, 0x03AB,
Buffer_results1[121].real, 0x0000,
Buffer_results1[121].imag, 0x0000,
Buffer_results1[122].real, 0x0000,
Buffer_results1[122].imag, 0x0000,
Buffer_results1[123].real, 0x0000,
Buffer_results1[123].imag, 0x0000,
Buffer_results1[124].real, 0x0000,
Buffer_results1[124].imag, 0x0000,
Buffer_results1[125].real, 0x0000,
Buffer_results1[125].imag, 0x0000,
Buffer_results1[126].real, 0x0000,
Buffer_results1[126].imag, 0x0000,
Buffer_results1[127].real, 0x0000,
Buffer_results1[127].imag, 0x0000,
