inBuffer->Adc1Ch0[0], 0x0000
inBuffer->Adc1Ch0[1], 0xFFFB
inBuffer->Adc1Ch0[2], 0xFFC8
inBuffer->Adc1Ch0[3], 0x0083
inBuffer->Adc1Ch0[4], 0x0017
inBuffer->Adc1Ch0[5], 0xFE70
inBuffer->Adc1Ch0[6], 0x017E
inBuffer->Adc1Ch0[7], 0xFEF8
inBuffer->Adc1Ch0[8], 0xFC2A
inBuffer->Adc1Ch0[9], 0xF9FE
inBuffer->Adc1Ch0[10], 0xF85B
inBuffer->Adc1Ch0[11], 0xF7ED
inBuffer->Adc1Ch0[12], 0xFB56
inBuffer->Adc1Ch0[13], 0x01D3
inBuffer->Adc1Ch0[14], 0x0BC0
inBuffer->Adc1Ch0[15], 0xFA72
inBuffer->Adc1Ch0[16], 0x0A2F
inBuffer->Adc1Ch0[17], 0xEDAB
inBuffer->Adc1Ch0[18], 0xF7D7
inBuffer->Adc1Ch0[19], 0xE635
inBuffer->Adc1Ch0[20], 0xE4F3
inBuffer->Adc1Ch0[21], 0xF81D
inBuffer->Adc1Ch0[22], 0xE7AC
inBuffer->Adc1Ch0[23], 0x1AD9
inBuffer->Adc1Ch0[24], 0x02BD
inBuffer->Adc1Ch0[25], 0xDD61
inBuffer->Adc1Ch0[26], 0x17D4
inBuffer->Adc1Ch0[27], 0xF27B
inBuffer->Adc1Ch0[28], 0xD753
inBuffer->Adc1Ch0[29], 0xCAA0
inBuffer->Adc1Ch0[30], 0xC5C3
inBuffer->Adc1Ch0[31], 0xCA52
inBuffer->Adc1Ch0[32], 0xE4AA
inBuffer->Adc1Ch0[33], 0x0AC0
inBuffer->Adc1Ch0[34], 0xB8E4
inBuffer->Adc1Ch0[35], 0xE8CC
inBuffer->Adc1Ch0[36], 0x29DA
inBuffer->Adc1Ch0[37], 0xBB08
inBuffer->Adc1Ch0[38], 0xE378
inBuffer->Adc1Ch0[39], 0xAC3C
inBuffer->Adc1Ch0[40], 0xAC2F
inBuffer->Adc1Ch0[41], 0xE7AB
inBuffer->Adc1Ch0[42], 0xBC38
inBuffer->Adc1Ch0[43], 0x464D
inBuffer->Adc1Ch0[44], 0x067A
inBuffer->Adc1Ch0[45], 0xAC81
inBuffer->Adc1Ch0[46], 0x35F9
inBuffer->Adc1Ch0[47], 0xE218
inBuffer->Adc1Ch0[48], 0xA9FF
inBuffer->Adc1Ch0[49], 0x93B8
inBuffer->Adc1Ch0[50], 0x8E33
inBuffer->Adc1Ch0[51], 0x9B0D
inBuffer->Adc1Ch0[52], 0xCE7C
inBuffer->Adc1Ch0[53], 0x1362
inBuffer->Adc1Ch0[54], 0x876A
inBuffer->Adc1Ch0[55], 0xDA38
inBuffer->Adc1Ch0[56], 0x4360
inBuffer->Adc1Ch0[57], 0x9703
inBuffer->Adc1Ch0[58], 0xD54D
inBuffer->Adc1Ch0[59], 0x8587
inBuffer->Adc1Ch0[60], 0x8729
inBuffer->Adc1Ch0[61], 0xDE61
inBuffer->Adc1Ch0[62], 0xA4A0
inBuffer->Adc1Ch0[63], 0x59FC
inBuffer->Adc1Ch0[64], 0x0640
inBuffer->Adc1Ch0[65], 0x9665
inBuffer->Adc1Ch0[66], 0x40C1
inBuffer->Adc1Ch0[67], 0xDC45
inBuffer->Adc1Ch0[68], 0x9B81
inBuffer->Adc1Ch0[69], 0x8687
inBuffer->Adc1Ch0[70], 0x8403
inBuffer->Adc1Ch0[71], 0x94C7
inBuffer->Adc1Ch0[72], 0xCE81
inBuffer->Adc1Ch0[73], 0x1419
inBuffer->Adc1Ch0[74], 0x8960
inBuffer->Adc1Ch0[75], 0xDC12
inBuffer->Adc1Ch0[76], 0x3FBF
inBuffer->Adc1Ch0[77], 0xA046
inBuffer->Adc1Ch0[78], 0xDA4D
inBuffer->Adc1Ch0[79], 0x9592
inBuffer->Adc1Ch0[80], 0x996E
inBuffer->Adc1Ch0[81], 0xE3FC
inBuffer->Adc1Ch0[82], 0xB5F6
inBuffer->Adc1Ch0[83], 0x463E
inBuffer->Adc1Ch0[84], 0x0434
inBuffer->Adc1Ch0[85], 0xB113
inBuffer->Adc1Ch0[86], 0x2E80
inBuffer->Adc1Ch0[87], 0xE575
inBuffer->Adc1Ch0[88], 0xBB18
inBuffer->Adc1Ch0[89], 0xAF4C
inBuffer->Adc1Ch0[90], 0xB009
